Unnamed: 0,replicate,sample_size,Ne,length,recombination_rate,mutation_rate,error_param,edges,n_trees,n_sites,seed,ancestral_state_error_param,RentPlus_completed,fastARG_completed,tsinfer_completed,ARGweaver_completed,tsinfer_max_polytomy,tsinfer_2_pathunrooted,tsinfer_2_wRFunrooted,tsinfer_2_RFunrooted,tsinfer_edges,tsinfer_2_KCrooted,tsinfer_2_SPRunrooted,tsinfer_var_polytomy,tsinfer_0_RFrooted,tsinfer_0_wRFunrooted,tsinfer_0_RFunrooted,tsinfer_2_RFrooted,tsinfer_cputime,tsinfer_memory,tsinfer_0_KCrooted,tsinfer_0_SPRunrooted,tsinfer_0_pathunrooted,tsinfer_ts_filesize,tsinfer_2_wRFrooted,tsinfer_mean_polytomy,tsinfer_0_wRFrooted,fastARG_0_RFunrooted,fastARG_ts_filesize,fastARG_0_KCrooted,fastARG_0_SPRunrooted,fastARG_0_pathunrooted,fastARG_cputime,fastARG_0_wRFunrooted,fastARG_0_RFrooted,fastARG_edges,fastARG_0_wRFrooted,fastARG_memory,RentPlus_0_KCrooted,RentPlus_0_RFunrooted,RentPlus_memory,RentPlus_cputime,RentPlus_0_wRFunrooted,RentPlus_0_SPRunrooted,RentPlus_0_pathunrooted,RentPlus_0_RFrooted,RentPlus_0_wRFrooted,ARGweaver_0_wRFunrooted,ARGweaver_cputime,ARGweaver_iterations,ARGweaver_0_RFunrooted,ARGweaver_memory,ARGweaver_0_SPRunrooted,ARGweaver_0_pathunrooted,ARGweaver_ts_filesize,ARGweaver_edges,ARGweaver_0_wRFrooted,ARGweaver_0_RFrooted,ARGweaver_0_KCrooted
0,0,16,5000,100000,1e-08,4.999999999999999e-09,0,182,49,22,808716224,0,True,True,True,True,9.0,21.29462027663569,56106.087757240646,16.139929449552753,71.0,15.833501309251805,4.15297462806071,4.615916955017301,14.880772715516311,56106.08775724066,13.739347493215153,17.498960689033165,0.47,57499648.0,13.109875681087672,,24.223114666850854,10364.0,56106.581231329226,4.176470588235294,56106.581231329226,15.09101203762872,8780.0,16.967149208985383,4.144339929858628,20.900992942287246,0.0,55740.96797752338,17.527003466228386,76.0,55747.30717664374,2068480.0,14.50612499058045,14.80158,74293248.0,1.1500000000000001,,4.05363,21.49296906852368,16.62721,,71087.77832251767,2575.1,"0,20,40,60,80,100,120,140,160,180",16.963578000000002,186417152.0,4.307323,21.735852927135404,12986.4,204.1,71289.3777652998,18.817414,15.393647259230084
1,0,16,5000,100000,1e-08,4.999999999999999e-09,0,182,49,22,808716224,0.01,True,True,True,True,9.0,21.29462027663569,56106.087757240646,16.139929449552753,71.0,15.833501309251805,4.15297462806071,4.615916955017301,14.880772715516311,56106.08775724066,13.739347493215153,17.498960689033165,0.45,57774080.0,13.109875681087672,,24.223114666850854,10364.0,56106.581231329226,4.176470588235294,56106.581231329226,15.091012037628719,8780.0,16.96714920898538,4.144339929858628,20.900992942287246,0.0,55740.967977523374,17.527003466228383,76.0,55747.30717664374,1970176.0,14.50612499058045,14.80158,73023488.0,1.07,,4.05363,21.49296906852368,16.62721,,71087.77832251767,2588.41,"0,20,40,60,80,100,120,140,160,180",16.963578000000002,186441728.0,4.307323,21.735852927135404,12986.4,204.1,71289.3777652998,18.817414,15.393647259230084
2,0,16,5000,100000,1e-08,4.999999999999999e-09,0,182,49,22,808716224,0.02,True,True,True,True,9.0,21.29462027663569,56106.087757240646,16.139929449552753,71.0,15.833501309251805,4.15297462806071,4.615916955017301,14.880772715516311,56106.08775724066,13.739347493215153,17.498960689033165,0.46,57757696.0,13.109875681087672,,24.223114666850854,10364.0,56106.581231329226,4.176470588235294,56106.581231329226,15.09101203762872,8780.0,16.967149208985383,4.144339929858628,20.900992942287246,0.0,55740.96797752338,17.527003466228386,76.0,55747.30717664374,2068480.0,14.50612499058045,14.80158,58658816.0,0.88,,4.05363,21.49296906852368,16.62721,,71087.77832251767,2589.73,"0,20,40,60,80,100,120,140,160,180",16.963578000000002,186273792.0,4.307323,21.735852927135404,12986.4,204.1,71289.3777652998,18.817414,15.393647259230084
3,0,16,5000,100000,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,182,49,22,808716224,0,True,True,True,True,8.0,23.583757958335518,56104.53449729066,17.148521133236276,64.0,17.38229370470176,4.286388981532489,3.8269896193771618,15.190691762293653,56104.53449729066,14.012197324010696,18.53725397384079,0.46,57552896.0,13.160238678635952,,25.368192241448106,10124.0,56105.10210981119,3.7647058823529416,56105.10210981118,16.554567160305503,9612.0,17.327911552878657,4.166917562226515,22.62370768696976,0.0,55750.78849892911,18.757731438271016,97.0,55751.50674266428,2052096.0,15.249320253086733,14.78783,65912832.0,0.9199999999999999,,4.11142,21.83899766806259,16.70923,,79664.17696766724,2700.67,"0,20,40,60,80,100,120,140,160,180",16.103668,219582464.0,4.12942,22.190235213007085,13821.6,227.3,80052.83336301468,18.143014,17.238858704683366
4,0,16,5000,100000,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,182,49,22,808716224,0.01,True,True,True,True,9.0,21.29462027663569,56106.087757240646,16.139929449552753,71.0,15.833501309251805,4.15297462806071,4.615916955017301,14.880772715516311,56106.08775724066,13.739347493215153,17.498960689033165,0.55,57802752.0,13.109875681087672,,24.223114666850854,10364.0,56106.581231329226,4.176470588235294,56106.581231329226,15.09101203762872,8780.0,16.967149208985383,4.144339929858628,20.900992942287246,0.0,55740.96797752338,17.527003466228386,76.0,55747.30717664374,2068480.0,14.50612499058045,14.80158,72290304.0,1.04,,4.05363,21.49296906852368,16.62721,,71087.77832251767,2551.79,"0,20,40,60,80,100,120,140,160,180",16.963578000000002,186490880.0,4.307323,21.735852927135404,12986.4,204.1,71289.3777652998,18.817414,15.393647259230084
5,0,16,5000,100000,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,182,49,22,808716224,0.02,True,True,True,True,9.0,21.29462027663569,56106.087757240646,16.139929449552753,71.0,15.833501309251805,4.15297462806071,4.615916955017301,14.880772715516311,56106.08775724066,13.739347493215153,17.498960689033165,0.46,57491456.0,13.109875681087672,,24.223114666850854,10364.0,56106.581231329226,4.176470588235294,56106.581231329226,15.091012037628719,8780.0,16.96714920898538,4.144339929858628,20.900992942287246,0.0,55740.967977523374,17.527003466228383,76.0,55747.30717664374,2060288.0,14.50612499058045,14.80158,76570624.0,1.23,,4.05363,21.49296906852368,16.62721,,71087.77832251767,2564.2299999999996,"0,20,40,60,80,100,120,140,160,180",16.963578000000002,186490880.0,4.307323,21.735852927135404,12986.4,204.1,71289.3777652998,18.817414,15.393647259230084
6,0,16,5000,100000,1e-08,1.4898859031336945e-08,0,208,56,87,1137898847,0,True,True,True,True,11.0,18.48191276235964,64529.09041075747,11.948196298367732,90.0,12.990221796827395,3.2777915438757432,5.1875,12.198214560567214,64529.09041075747,10.99706658868655,13.167259592299555,0.5900000000000001,57806848.0,11.78674523823142,,19.083677616210306,13708.0,64530.677034713895,3.75,64530.67703471387,9.460193987257053,11868.0,15.261738239017653,2.5847195162300958,15.755199472503007,0.0,64184.736925694466,12.202779729020044,87.0,64192.414843703635,2080768.0,12.829580986175213,12.39619,90050560.0,1.8800000000000001,,3.03456,18.159908758329127,13.68363,,56526.033924984535,2368.05,"0,20,40,60,80,100,120,140,160,180",12.041392,179752960.0,3.2492550000000002,18.04840852569435,13738.4,221.2,57223.82010448883,13.209092000000002,13.087952076451876
7,0,16,5000,100000,1e-08,1.4898859031336945e-08,0,208,56,87,1137898847,0.01,True,True,True,True,11.0,18.48191276235964,64529.09041075747,11.948196298367732,90.0,12.990221796827395,3.2777915438757432,5.1875,12.198214560567214,64529.09041075747,10.99706658868655,13.167259592299555,0.47,57925632.0,11.78674523823142,,19.083677616210306,13708.0,64530.677034713895,3.75,64530.67703471387,9.460193987257053,11868.0,15.261738239017653,2.5847195162300958,15.755199472503007,0.0,64184.736925694466,12.202779729020044,87.0,64192.414843703635,2031616.0,12.829580986175213,12.39619,91697152.0,2.05,,3.03456,18.159908758329127,13.68363,,56526.033924984535,2371.05,"0,20,40,60,80,100,120,140,160,180",12.041392,179789824.0,3.2492550000000002,18.04840852569435,13738.4,221.2,57223.82010448883,13.209092000000002,13.087952076451876
8,0,16,5000,100000,1e-08,1.4898859031336945e-08,0,208,56,87,1137898847,0.02,True,True,True,True,12.0,18.96396564365817,64526.12330868818,12.041500029703393,92.0,14.023463864453097,3.299010936407016,6.138888888888888,12.075576516882114,64526.12330868818,10.747852366931188,13.393069296777073,0.47,57679872.0,12.483144727217441,,19.72389240317774,13772.0,64528.79457951162,3.8333333333333335,64528.79457951162,9.460193987257053,11868.0,15.261738239017653,2.5847195162300958,15.755199472503007,0.0,64184.736925694466,12.202779729020044,87.0,64192.414843703635,2031616.0,12.829580986175213,12.39619,93978624.0,2.5500000000000003,,3.03456,18.159908758329127,13.68363,,56526.033924984535,2356.1,"0,20,40,60,80,100,120,140,160,180",12.041392,179695616.0,3.2492550000000002,18.04840852569435,13738.4,221.2,57223.82010448883,13.209092000000002,13.087952076451876
9,0,16,5000,100000,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,208,56,87,1137898847,0,True,True,True,True,14.0,19.61333127530034,64524.85059684522,13.112537751662998,119.0,13.491205322552938,3.6795016243560896,8.135275754422478,12.956594372872145,64524.850596845215,11.644342936334336,14.47107049418317,0.5,57659392.0,11.988583839592216,,20.91906316861495,14828.0,64526.69035395111,3.838709677419355,64526.69035395111,12.63272098165563,13292.0,15.984341395902456,3.355431129562368,18.898806773240526,0.0,64153.242427650795,15.501273948700673,124.0,64160.02570069907,2088960.0,15.003092709511623,14.81257,83546112.0,1.7799999999999998,,4.159725,19.985651393564286,16.54839,,60839.794415897726,2385.47,"0,20,40,60,80,100,120,140,160,180",14.703971999999998,210169856.0,3.8520139999999996,20.80769083878949,14341.6,237.5,61473.18873637951,16.021206,15.052554442356405
